target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
Langevin_post,49,7000,100,10240,508111360.0,410975296.0,148.25064086914062,141.00106811523438,seed49_dsivi_langevin_post,0.014
Langevin_post,49,8000,100,10240,494400736.0,413560832.0,147.2917938232422,141.22361755371094,seed49_dsivi_langevin_post,0.012
Langevin_post,49,9000,100,10240,483402496.0,415686624.0,146.49404907226562,141.4214324951172,seed49_dsivi_langevin_post,0.016
Langevin_post,49,10000,100,10240,478446176.0,417349472.0,146.0596466064453,141.5247039794922,seed49_dsivi_langevin_post,0.015
x_shaped,49,1000,2,10240,882.9812622070312,2.512179136276245,3.298874616622925,0.775772750377655,seed49_dsivi_x_shaped,0.009
x_shaped,49,2000,2,10240,264.0328369140625,7.583961486816406,2.4673337936401367,1.1340261697769165,seed49_dsivi_x_shaped,0.006
x_shaped,49,3000,2,10240,123.94026947021484,16.726181030273438,2.084291934967041,1.3585857152938843,seed49_dsivi_x_shaped,0.006
x_shaped,49,4000,2,10240,68.73561096191406,29.082809448242188,1.8588255643844604,1.5866820812225342,seed49_dsivi_x_shaped,0.006
x_shaped,49,5000,2,10240,47.52465057373047,38.78826904296875,1.7175785303115845,1.7565555572509766,seed49_dsivi_x_shaped,0.006
x_shaped,49,6000,2,10240,46.68966293334961,40.712364196777344,1.71553635597229,1.7172714471817017,seed49_dsivi_x_shaped,0.006
x_shaped,49,7000,2,10240,42.5394172668457,42.65916061401367,1.683095932006836,1.700507402420044,seed49_dsivi_x_shaped,0.008
x_shaped,49,8000,2,10240,45.38154220581055,49.60388946533203,1.6908810138702393,1.7124210596084595,seed49_dsivi_x_shaped,0.006
x_shaped,49,9000,2,10240,42.80107498168945,35.5384407043457,1.6891411542892456,1.6719268560409546,seed49_dsivi_x_shaped,0.006
x_shaped,49,10000,2,10240,47.32485580444336,40.99031066894531,1.731885552406311,1.699055552482605,seed49_dsivi_x_shaped,0.006
Langevin_post,50,1000,100,10240,8294072320.0,22011574.0,297.7225036621094,67.828369140625,seed50_dsivi_langevin_post,0.013
Langevin_post,50,2000,100,10240,2902219264.0,64991444.0,229.0683135986328,88.96154022216797,seed50_dsivi_langevin_post,0.017
Langevin_post,50,3000,100,10240,1450203520.0,136351648.0,192.62112426757812,107.05744934082031,seed50_dsivi_langevin_post,0.014
Langevin_post,50,4000,100,10240,885980480.0,232456864.0,170.2851104736328,122.34893035888672,seed50_dsivi_langevin_post,0.013
Langevin_post,50,5000,100,10240,610600064.0,344125760.0,155.12779235839844,134.8874969482422,seed50_dsivi_langevin_post,0.014
Langevin_post,50,6000,100,10240,531042304.0,399046656.0,149.8622589111328,140.02096557617188,seed50_dsivi_langevin_post,0.015
Langevin_post,50,7000,100,10240,506124256.0,414401120.0,148.144287109375,141.3363037109375,seed50_dsivi_langevin_post,0.013
Langevin_post,50,8000,100,10240,494724416.0,416115552.0,147.31907653808594,141.4530792236328,seed50_dsivi_langevin_post,0.012
Langevin_post,50,9000,100,10240,489660512.0,419150240.0,146.96775817871094,141.7048797607422,seed50_dsivi_langevin_post,0.012
Langevin_post,50,10000,100,10240,482454624.0,419984448.0,146.4129180908203,141.7888641357422,seed50_dsivi_langevin_post,0.015
x_shaped,50,1000,2,10240,620.0369262695312,3.712754964828491,3.159137487411499,0.8370304107666016,seed50_dsivi_x_shaped,0.006
x_shaped,50,2000,2,10240,229.2301483154297,7.43172025680542,2.481754779815674,1.0505322217941284,seed50_dsivi_x_shaped,0.006
x_shaped,50,3000,2,10240,125.2811279296875,20.237459182739258,2.146195888519287,1.3362911939620972,seed50_dsivi_x_shaped,0.009
x_shaped,50,4000,2,10240,69.91753387451172,24.953407287597656,1.8820152282714844,1.4166498184204102,seed50_dsivi_x_shaped,0.006
x_shaped,50,5000,2,10240,47.26975631713867,48.71987533569336,1.7142356634140015,1.8210840225219727,seed50_dsivi_x_shaped,0.006
x_shaped,50,6000,2,10240,43.07117462158203,37.223731994628906,1.696431040763855,1.6276187896728516,seed50_dsivi_x_shaped,0.006
