sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,9,45,-0.05544351,0.50758338
MALA_tail,9,46,-0.03054782,0.49331251
MALA_tail,9,47,-0.05105634,0.46035656
MALA_tail,9,48,-0.03246043,0.44297054
MALA_tail,9,49,-0.03132628,0.39781421
MALA_tail,10,0,1.35368168,1.94583261
MALA_tail,10,1,1.34014857,1.93726337
MALA_tail,10,2,1.35317302,1.93163669
MALA_tail,10,3,1.30637300,1.92335761
MALA_tail,10,4,1.30784798,1.88335776
MALA_tail,10,5,1.32507133,1.91643536
MALA_tail,10,6,1.35182214,1.90668893
MALA_tail,10,7,1.30522764,1.92636323
MALA_tail,10,8,1.32464135,1.98018372
MALA_tail,10,9,1.30811346,1.98377049
MALA_tail,10,10,1.32357788,1.96693277
MALA_tail,10,11,1.30541849,1.99848092
MALA_tail,10,12,1.36550820,2.01982522
MALA_tail,10,13,1.35662377,2.01713014
MALA_tail,10,14,1.34708488,2.11417818
MALA_tail,10,15,1.35327196,2.11449575
MALA_tail,10,16,1.38609362,2.08249450
MALA_tail,10,17,1.39068389,2.06478691
MALA_tail,10,18,1.36678827,2.03600168
MALA_tail,10,19,1.38943005,2.04803205
MALA_tail,10,20,1.44031858,2.07428622
MALA_tail,10,21,1.43811667,2.01206613
MALA_tail,10,22,1.42206049,1.99503779
MALA_tail,10,23,1.40496171,1.97692728
MALA_tail,10,24,1.44308436,1.98069656
MALA_tail,10,25,1.44700313,1.95478797
MALA_tail,10,26,1.47565353,1.95397890
MALA_tail,10,27,1.45339656,1.97055447
MALA_tail,10,28,1.44424689,1.98842800
MALA_tail,10,29,1.42527390,2.02176809
MALA_tail,10,30,1.40734959,2.02697873
MALA_tail,10,31,1.44280946,1.96835315
MALA_tail,10,32,1.41350150,1.93298507
MALA_tail,10,33,1.42575538,1.95470345
MALA_tail,10,34,1.45211709,1.97655916
MALA_tail,10,35,1.43155241,1.98315108
MALA_tail,10,36,1.38001359,1.99998331
MALA_tail,10,37,1.40467918,2.04801869
MALA_tail,10,38,1.45601702,2.05107498
MALA_tail,10,39,1.44023645,1.98364019
MALA_tail,10,40,1.45483541,1.96887267
MALA_tail,10,41,1.46499777,1.96080816
MALA_tail,10,42,1.48198736,1.92183447
MALA_tail,10,43,1.46845019,1.93700421
MALA_tail,10,44,1.50084865,1.92597795
MALA_tail,10,45,1.48095572,1.90683270
MALA_tail,10,46,1.49273276,1.84139442
MALA_tail,10,47,1.47324431,1.87632358
MALA_tail,10,48,1.42706704,1.90900803
MALA_tail,10,49,1.42352617,1.91591775
MALA_tail,11,0,-0.48817340,0.39796293
MALA_tail,11,1,-0.52848840,0.43810663
MALA_tail,11,2,-0.50544077,0.47397244
MALA_tail,11,3,-0.47555411,0.48903659
MALA_tail,11,4,-0.50241321,0.49446747
MALA_tail,11,5,-0.50701296,0.53060561
MALA_tail,11,6,-0.51370764,0.52297771
MALA_tail,11,7,-0.51455665,0.56580770
MALA_tail,11,8,-0.50026095,0.55875528
MALA_tail,11,9,-0.50263834,0.54448843
MALA_tail,11,10,-0.49092481,0.55289710
MALA_tail,11,11,-0.51651752,0.55860972
MALA_tail,11,12,-0.53854561,0.55098689
MALA_tail,11,13,-0.52237910,0.50370753
MALA_tail,11,14,-0.48684436,0.49703443
